Type,What,Done,Planned,Satisfaction
Personal,Visit Cassino Aria,yes,no,4
Personal,Visit Cassino Bellagio,yes,yes,3
Personal,Visit Cassino Caesars Palace,yes,yes,5
Personal,Visit Cassino Casino Royale,yes,no,3
Personal,Visit Cassino Cosmopolitan,yes,no,3
Personal,Visit Cassino The Cromwell,yes,no,3
Personal,Visit Cassino Excalibur,yes,no,3
Personal,Visit Cassino Flamingo,yes,no,4
Personal,Visit Cassino Hard Rock Hotel,yes,no,3
Personal,Visit Cassino Harrah's,yes,no,2
Personal,Visit Cassino Luxor,yes,yes,4
Personal,Visit Cassino Mandalay Bay,yes,no,3
Personal,Visit Cassino MGM Grand,yes,yes,4
Personal,Visit Cassino Mirage,yes,yes,3
Personal,Visit Cassino Monte Carlo,yes,no,3
Personal,Visit Cassino New York New York,yes,no,3
Personal,Visit Cassino Paris,yes,no,3
Personal,Visit Cassino Palazzo,yes,no,3
Personal,Visit Cassino Planet Hollywood,yes,no,3
Personal,Visit Cassino Treasure Island,yes,no,3
Personal,Visit Cassino Venetian,yes,yes,4
Personal,Visit Cassino Stratosphere,yes,yes,5
Personal,Visit Cassino Golden Nuget,yes,yes,3
Personal,Visit Cassino Ballys,no,no,0
Personal,Visit Cassino Circus Circus,no,no,0
Personal,Visit Cassino Encore,no,no,0
Personal,Visit Cassino The Quad,no,no,0
Personal,Visit Cassino Rio,no,no,0
Personal,Visit Cassino Riviera,no,no,0
Personal,Visit Cassino Slots-a-Fun*,no,no,0
Personal,Visit Cassino Tropicana,no,no,0
Personal,Visit Cassino Wynn,no,no,0
Personal,Watch Mirage Vulcano Show,yes,yes,4
Personal,Watch Belagio Water Show,yes,yes,3
Personal,Watch Treasure Island Show,no,yes,0
Personal,Go To Stratosphere Top of World,yes,yes,5
Personal,Go To Freemount Street,yes,yes,5
Personal,Go To MM's World,yes,yes,4
Personal,Go To Ethem M Chocolate Factory,no,yes,0
Personal,Go To Fashion Show Mall,yes,no,3
Personal,Go To Caesars Palace Forum Shops,yes,no,4
Personal,Go To A Party in Las Vegas,yes,no,3
Personal,Do Shopping For my Wife,yes,yes,5
Personal,Do Shopping For my Daughter,yes,yes,5
Personal,Do Shopping For my Son,yes,yes,5
Work,Know Splunk CEO,yes,yes,2
Work,Do Something to Impact,yes,no,5
Work,Understand About Splunk 6.2,yes,yes,4
Work,Talk About VTEX,yes,yes,5
Work,Talk About OKTA/Splunk Integration,yes,yes,4
Work,Do Splunk Course Certification,no,no,0
